f127.0.0.1:2222,127.0.0.1:1111	1118	2	0	7	4
f127.0.0.1:2222,127.0.0.1:1111	1122	1
f127.0.0.1:1111,127.0.0.1:2222	1122	2	8	0	3
f127.0.0.1:1111,127.0.0.1:2222	1122	3	9	0	3
f127.0.0.1:1111,127.0.0.1:2222	1126	2
f127.0.0.1:2222,127.0.0.1:1111	1127	3	0	8	4
f127.0.0.1:2222,127.0.0.1:1111	1130	2
f127.0.0.1:1111,127.0.0.1:2222	1130	3	10	0	3
f127.0.0.1:1111,127.0.0.1:2222	1131	2
f127.0.0.1:2222,127.0.0.1:1111	1131	3	0	9	4
f127.0.0.1:1111,127.0.0.1:2222	1138	2
f127.0.0.1:2222,127.0.0.1:1111	1138	1
f127.0.0.1:2222,127.0.0.1:1111	1138	2	0	10	4
f127.0.0.1:1111,127.0.0.1:2222	1138	3	11	0	3
f127.0.0.1:1111,127.0.0.1:2222	1142	2
f127.0.0.1:2222,127.0.0.1:1111	1143	1
f127.0.0.1:2222,127.0.0.1:1111	1143	2	0	11	4
f127.0.0.1:1111,127.0.0.1:2222	1143	3	12	0	3
f127.0.0.1:1111,127.0.0.1:2222	1144	4	13	0	3
f127.0.0.1:1111,127.0.0.1:2222	1148	3
f127.0.0.1:2222,127.0.0.1:1111	1148	4	0	12	4
f127.0.0.1:2222,127.0.0.1:1111	1150	3
f127.0.0.1:1111,127.0.0.1:2222	1150	4	14	0	3
f127.0.0.1:1111,127.0.0.1:2222	1152	3
f127.0.0.1:2222,127.0.0.1:1111	1152	4	0	13	4
f127.0.0.1:2222,127.0.0.1:1111	1152	3
f127.0.0.1:2222,127.0.0.1:1111	1152	-1	0	13
f127.0.0.1:2222,127.0.0.1:1111	1154	2
f127.0.0.1:1111,127.0.0.1:2222	1154	3	15	0	3
f127.0.0.1:1111,127.0.0.1:2222	1158	2
f127.0.0.1:2222,127.0.0.1:1111	1158	3	0	14	4
f127.0.0.1:2222,127.0.0.1:1111	1158	2
f127.0.0.1:2222,127.0.0.1:1111	1158	-1	0	14
f127.0.0.1:1111,127.0.0.1:2222	1165	1
f127.0.0.1:2222,127.0.0.1:1111	1165	0
f127.0.0.1:2222,127.0.0.1:1111	1165	1	0	15	4
f127.0.0.1:1111,127.0.0.1:2222	1165	2	16	0	3
f127.0.0.1:1111,127.0.0.1:2222	1171	1
f127.0.0.1:2222,127.0.0.1:1111	1171	0
f127.0.0.1:2222,127.0.0.1:1111	1171	1	0	16	4
f127.0.0.1:1111,127.0.0.1:2222	1171	2	17	0	3
f127.0.0.1:1111,127.0.0.1:2222	1171	1
